date,platform_id,brand_id,product_id,ad_spend,clicks,impressions
1/1/2026,MKP_1,B03,P10000,853.28,432,9719
1/1/2026,MKP_1,B02,P10002,583.7,164,3347
1/1/2026,MKP_1,B03,P10002,85.17,26,1163
1/1/2026,MKP_1,B08,P10137,61.74,10,822
1/1/2026,MKP_1,B14,P10013,262.76,97,2328
1/1/2026,MKP_1,B12,P10004,484.94,99,3976
1/1/2026,MKP_1,B17,P10000,378.41,134,3418
1/1/2026,MKP_1,B08,P10061,140.55,58,1257
1/1/2026,MKP_1,B11,P10054,66.5,14,603
1/1/2026,MKP_1,B04,P10000,156.15,59,1670
1/1/2026,MKP_1,B12,P10522,214.68,97,2117
1/1/2026,MKP_1,B11,P10206,543.07,107,3521
1/1/2026,MKP_1,B16,P10000,244.03,49,1555
1/1/2026,MKP_1,B10,P10000,166.86,107,2511
1/1/2026,MKP_1,B18,P10003,658.97,145,3347
1/1/2026,MKP_1,B07,P10001,128.56,19,1338
1/1/2026,MKP_1,B19,P10139,1237.36,81,5926
1/1/2026,MKP_1,B06,P10004,491.67,46,3129
1/1/2026,MKP_1,B09,P10127,578.9,226,7365
1/1/2026,MKP_1,B17,P10697,298,117,4229
1/1/2026,MKP_1,B08,P10242,1140.01,166,13951
1/1/2026,MKP_1,B15,P10495,695.31,126,6571
1/1/2026,MKP_1,B12,P10054,471.99,92,5368
1/1/2026,MKP_1,B18,P10214,746.59,249,7931
1/1/2026,MKP_1,B12,P10004,474.12,182,5731
1/1/2026,MKP_1,B19,P10076,108.01,22,632
1/1/2026,MKP_1,B09,P10000,755.35,184,10423
1/1/2026,MKP_1,B02,P10002,119.47,15,1528
1/1/2026,MKP_1,B12,P10116,517.11,71,5563
1/1/2026,MKP_1,B13,P10001,173.11,77,1883
1/1/2026,MKP_1,B18,P10001,64,7,382
1/1/2026,MKP_1,B09,P10001,666.53,257,6636
1/1/2026,MKP_1,B07,P10029,268.92,188,3786
1/1/2026,MKP_1,B15,P10000,141.29,36,1745
1/1/2026,MKP_1,B06,P10008,651.35,182,5475
1/1/2026,MKP_1,B11,P10025,712.64,103,6801
1/1/2026,MKP_1,B17,P10003,201.03,10,769
1/1/2026,MKP_1,B02,P10001,347.01,81,2513
1/1/2026,MKP_1,B13,P10000,238.54,58,2067
1/1/2026,MKP_1,B10,P10085,1445.54,603,17879
1/1/2026,MKP_1,B12,P10000,104.25,44,910
1/1/2026,MKP_1,B20,P10394,279.27,75,1929
1/1/2026,MKP_1,B20,P10000,469.93,64,5605
1/1/2026,MKP_1,B10,P10349,174.69,114,2335
1/1/2026,MKP_1,B15,P10000,1427.92,144,10529
1/1/2026,MKP_1,B11,P10000,305.1,44,4070
1/1/2026,MKP_1,B16,P10000,256.38,39,1694
1/1/2026,MKP_1,B11,P10000,134.15,24,748
1/1/2026,MKP_1,B02,P10679,462.26,150,4102
1/1/2026,MKP_1,B18,P10002,176.78,59,1363
1/1/2026,MKP_1,B03,P10107,919.18,89,7165
1/1/2026,MKP_1,B14,P10001,1029.27,130,6038
1/1/2026,MKP_1,B11,P10000,134.97,37,1327
1/1/2026,MKP_1,B10,P10058,287.1,47,2292
1/1/2026,MKP_1,B05,P10040,283.85,65,3277
1/1/2026,MKP_1,B10,P10053,1648.79,219,12665
1/1/2026,MKP_1,B08,P10002,347.21,73,2598
1/1/2026,MKP_1,B18,P10003,539.81,332,7203
1/1/2026,MKP_1,B18,P10000,177.16,18,1975
1/1/2026,MKP_1,B20,P10004,584.63,195,6176
1/1/2026,MKP_1,B18,P10147,403.02,73,2307
1/1/2026,MKP_1,B13,P10014,1968.58,561,11794
1/1/2026,MKP_1,B12,P10007,123.62,31,1396
1/1/2026,MKP_1,B03,P10001,29.99,14,358
1/1/2026,MKP_1,B07,P10080,444.84,168,3966
1/1/2026,MKP_1,B18,P10017,267.33,70,2272
1/1/2026,MKP_1,B17,P10162,500.24,105,2809
1/1/2026,MKP_1,B01,P10014,301.05,46,3983
1/1/2026,MKP_1,B17,P10008,519.06,246,6013
1/1/2026,MKP_1,B18,P10000,287.89,120,3732
1/1/2026,MKP_1,B13,P10327,508.28,103,3128
1/1/2026,MKP_1,B05,P10033,643.29,98,4294
1/1/2026,MKP_1,B02,P10041,377.53,104,2957
1/1/2026,MKP_1,B05,P10269,809.35,311,9468
1/1/2026,MKP_1,B07,P10005,598.34,82,5933
1/1/2026,MKP_1,B05,P10010,393.91,167,5420
1/1/2026,MKP_1,B15,P10158,279.31,25,1870
1/1/2026,MKP_1,B02,P10077,1219.42,268,9479
1/1/2026,MKP_1,B05,P10308,227.76,29,1995
1/1/2026,MKP_1,B11,P10000,579.2,117,5986
1/1/2026,MKP_1,B06,P10000,208.98,43,1236
1/1/2026,MKP_1,B19,P10002,382.58,187,4889
1/1/2026,MKP_1,B12,P10000,33.06,2,0
