date,platform_id,brand_id,product_id,units_sold,revenue,category,price_band,ad_spend,clicks,impressions
1/1/2026,MKP_1,B17,P10000,14,2850.65,,,32437.85,10331,329183
1/1/2026,MKP_1,B03,P10000,9,2097.5,,,32437.85,10331,329183
1/1/2026,MKP_1,B10,P10000,9,1908.59,,,32437.85,10331,329183
1/1/2026,MKP_1,B03,P10000,27,2396.71,,,32437.85,10331,329183
1/1/2026,MKP_1,B08,P10000,15,3174.46,,,32437.85,10331,329183
1/1/2026,MKP_1,B04,P10000,16,2731.61,,,32437.85,10331,329183
1/1/2026,MKP_1,B05,P10000,6,1111.56,,,32437.85,10331,329183
1/1/2026,MKP_1,B08,P10000,16,3710.21,,,32437.85,10331,329183
1/1/2026,MKP_1,B19,P10000,20,1860.11,,,32437.85,10331,329183
1/1/2026,MKP_1,B20,P10000,36,7278.76,,,32437.85,10331,329183
1/1/2026,MKP_1,B03,P10000,19,4813.5,,,32437.85,10331,329183
1/1/2026,MKP_1,B20,P10000,19,4656.46,,,32437.85,10331,329183
1/1/2026,MKP_1,B11,P10000,10,709.86,,,32437.85,10331,329183
1/1/2026,MKP_1,B11,P10000,31,3376.02,,,32437.85,10331,329183
1/1/2026,MKP_1,B11,P10000,0,0,,,32437.85,10331,329183
1/1/2026,MKP_1,B11,P10000,11,2027.24,,,32437.85,10331,329183
1/1/2026,MKP_1,B08,P10000,27,3295.41,,,32437.85,10331,329183
1/1/2026,MKP_1,B16,P10000,15,1270.46,,,32437.85,10331,329183
1/1/2026,MKP_1,B12,P10000,8,878.59,,,32437.85,10331,329183
1/1/2026,MKP_1,B07,P10000,22,2917.92,,,32437.85,10331,329183
1/1/2026,MKP_1,B20,P10000,6,1052.95,,,32437.85,10331,329183
1/1/2026,MKP_1,B06,P10000,5,652.32,,,32437.85,10331,329183
1/1/2026,MKP_1,B08,P10000,12,3079.16,,,32437.85,10331,329183
1/1/2026,MKP_1,B05,P10000,21,1989.48,,,32437.85,10331,329183
1/1/2026,MKP_1,B03,P10000,0,0,,,32437.85,10331,329183
1/1/2026,MKP_1,B18,P10000,8,2276.25,,,32437.85,10331,329183
1/1/2026,MKP_1,B15,P10000,6,800.36,,,32437.85,10331,329183
1/1/2026,MKP_1,B11,P10000,8,705.3,,,32437.85,10331,329183
1/1/2026,MKP_1,B15,P10000,35,9077.96,,,32437.85,10331,329183
1/1/2026,MKP_1,B01,P10000,13,1574.9,,,32437.85,10331,329183
1/1/2026,MKP_1,B16,P10000,18,1815.26,,,32437.85,10331,329183
1/1/2026,MKP_1,B06,P10000,4,725.57,,,32437.85,10331,329183
