date,platform_id,brand_id,product_id,units_sold,revenue
1/1/2026,MKP_1,B02,P10002,15,3237.24
1/1/2026,MKP_1,B09,P10002,29,6137.1
1/1/2026,MKP_1,B01,P10005,14,1778.99
1/1/2026,MKP_1,B09,P10008,10,1805.98
1/1/2026,MKP_1,B20,P10003,21,4713.78
1/1/2026,MKP_1,B11,P10004,7,3870.68
1/1/2026,MKP_1,B11,P10001,16,3233.36
1/1/2026,MKP_1,B07,P10029,7,6220.69
1/1/2026,MKP_1,B05,P10025,0,0
1/1/2026,MKP_1,B20,P10188,9,8226.73
1/1/2026,MKP_1,B18,P10006,22,3378.52
1/1/2026,MKP_1,B01,P10000,13,1574.9
1/1/2026,MKP_1,B03,P10107,36,5820.81
1/1/2026,MKP_1,B17,P10000,17,2016.27
1/1/2026,MKP_1,B05,P10610,12,10529.94
1/1/2026,MKP_1,B12,P10002,22,3389.4
1/1/2026,MKP_1,B07,P10007,0,0
1/1/2026,MKP_1,B02,P10077,7,7040.77
1/1/2026,MKP_1,B20,P10004,10,7404.46
1/1/2026,MKP_1,B17,P10010,2,221.04
1/1/2026,MKP_1,B13,P10001,8,1707.66
1/1/2026,MKP_1,B12,P10135,3,3348.2
1/1/2026,MKP_1,B04,P10000,16,1981.72
1/1/2026,MKP_1,B08,P10000,7,1002.09
1/1/2026,MKP_1,B05,P10000,6,1111.56
1/1/2026,MKP_1,B07,P10113,16,-473.69
1/1/2026,MKP_1,B18,P10147,14,3386.83
1/1/2026,MKP_1,B11,P10000,8,705.3
1/1/2026,MKP_1,B10,P10041,6,3910.04
1/1/2026,MKP_1,B01,P10001,4,382
1/1/2026,MKP_1,B15,P10042,5,1817.66
1/1/2026,MKP_1,B05,P10006,16,3555.53
1/1/2026,MKP_1,B11,P10001,13,1337.64
1/1/2026,MKP_1,B11,P10003,17,2705.71
1/1/2026,MKP_1,B19,P10000,18,3908.58
1/1/2026,MKP_1,B02,P10001,9,1577.89
1/1/2026,MKP_1,B04,P10011,4,9458.28
1/1/2026,MKP_1,B16,P10001,0,0
1/1/2026,MKP_1,B10,P10085,11,20744.14
1/1/2026,MKP_1,B12,P10201,25,4658.46
1/1/2026,MKP_1,B06,P10052,0,0
1/1/2026,MKP_1,B12,P10075,8,6658.21
1/1/2026,MKP_1,B07,P10015,16,1947.17
1/1/2026,MKP_1,B01,P10011,6,6504.24
1/1/2026,MKP_1,B12,P10000,25,5707.99
1/1/2026,MKP_1,B04,P10000,0,0
1/1/2026,MKP_1,B15,P10626,6,5645.64
1/1/2026,MKP_1,B01,P10014,7,6274.06
1/1/2026,MKP_1,B18,P10000,16,1395.82
1/1/2026,MKP_1,B18,P10002,12,2628.22
1/1/2026,MKP_1,B11,P10054,19,2739.69
1/1/2026,MKP_1,B08,P10014,12,10703.74
